qc_id,id,numer,type,photo,z,side,anatomic,icon_url
"0","3","155",Pottery,C:\LosTamarindos\Eksploracje\RT43\Photos objects\155\_DSC6651.tiff,"44",n.a.,Artifact,./0.png
"1","1","172",Mandibular corpus,C:\LosTamarindos\Eksploracje\RT43\Photos objects\172\_DSC6678.tiff,"36",n.a.,Skull,./0.png
"2","3","82",Animal burrowing nest,C:\LosTamarindos\Eksploracje\RT43\Photos objects\82\_DSC6647_edited.jpg,"26",n.a.,Artifact,./0.png
"3","5","77",Copper rings,C:\LosTamarindos\Eksploracje\RT43\Photos objects\78\_DSC6682.NEF,"29",n.a.,Artifact,./0.png
"4","6","61",Cranial bone,C:\LosTamarindos\Eksploracje\RT43\Photos objects\77\_DSC6664.tiff,"21",n.a.,Skull,./0.png
"5","7","48",Permanent 1st upper molar tooth germ,C:\LosTamarindos\Eksploracje\RT43\Photos objects\48\_DSC6654.tiff,"30",?,Skull,./0.png
"6","7","63",Cranial bone,C:\LosTamarindos\Eksploracje\RT43\Photos objects\63\_DSC6674_edited.jpg,"21",n.a.,Skull,./0.png
"7","8","72",Cranial bone,C:\LosTamarindos\Eksploracje\RT43\Photos objects\62\_DSC6669.tiff,"22",n.a.,Skull,./0.png
"8","10","61",Pottery,C:\LosTamarindos\Eksploracje\RT43\Photos objects\61\_DSC6660_edited.jpg,"21",n.a.,Artifact,./0.png
"9","11","49",Pottery,C:\LosTamarindos\Eksploracje\RT43\Photos objects\49\_DSC6640.NEF,"20",n.a.,Artifact,./0.png
"10","12","2",Pottery (lid?),C:\LosTamarindos\Eksploracje\RT43\Photos objects\2\_DSC6637.tif,"31",n.a.,Artifact,./0.png
